Iteracion,Cantidad_Numeros,Rango_Min_Generado,Rango_Max_Generado,Maximo,Minimo,Media,Media_Geometrica,Mediana,Moda,Momento_Origen_1,Momento_Origen_2,Momento_Origen_3,Momento_Origen_4,Momento_Central_2,Momento_Central_3,Momento_Central_4,Varianza_Muestral,Desviacion_Estandar_Muestral,Momento_Estandar_2,Momento_Estandar_3,Momento_Estandar_4,Curtosis,Cuartil_1,Cuartil_2,Cuartil_3,Decil_1,Decil_2,Decil_3,Decil_4,Decil_5,Decil_6,Decil_7,Decil_8,Decil_9,Decil_10,Percentil_10,Percentil_20,Percentil_30,Percentil_40,Percentil_50,Percentil_60,Percentil_70,Percentil_80,Percentil_90,Percentil_100
1,3800,-77.00,90.00,89.984711,-76.913361,6.835747,30.813774,8.186972,89.000000,6.835763,2371.331894,45944.307185,10366329.897447,2324.604233,-2046.329981,9768362.445622,2325.216064,48.220493,0.999737,-0.018251,1.806738,1.806738,-36.584034,8.184423,47.346630,-59.712364,-43.683582,-27.394878,-8.751549,8.184423,24.478226,39.462204,56.326824,73.757164,89.984711,-59.712364,-43.683582,-27.394878,-8.751549,8.184423,24.478226,39.462204,56.326824,73.757164,89.984711
2,8900,-28.00,2.00,1.998169,-28.000000,-12.984517,8.605891,-12.972991,-11.000000,-12.984492,244.275542,-5144.580805,115692.813268,75.678514,-7.487177,10323.651524,75.687012,8.699828,0.999888,-0.011371,1.802149,1.802149,-20.497025,-12.980315,-5.420576,-25.103184,-22.057131,-18.980865,-15.897275,-12.980315,-10.065187,-6.978851,-3.852229,-0.977386,1.998169,-25.103184,-22.057131,-18.980865,-15.897275,-12.980315,-10.065187,-6.978851,-3.852229,-0.977386,1.998169
3,6200,-55.00,82.00,82.000000,-54.995819,13.950170,25.964586,14.041444,-46.000000,13.950170,1777.194307,68102.573500,6307131.688492,1582.587061,-844.306854,4468475.146542,1582.842407,39.784950,0.999839,-0.013407,1.783545,1.783545,-20.836756,14.020539,48.698051,-41.779564,-27.225380,-14.046754,0.143681,14.020539,28.620716,41.627918,55.115940,69.168404,82.000000,-41.779564,-27.225380,-14.046754,0.143681,14.020539,28.620716,41.627918,55.115940,69.168404,82.000000
4,2300,-72.00,2.00,1.977416,-71.857719,-34.409348,24.102115i,-33.336710,-40.000000,-34.409391,1627.573304,-87244.481311,5011388.150401,443.567105,-714.984469,359999.594377,443.760040,21.065613,0.999565,-0.076485,1.828124,1.828124,-52.417675,-33.384136,-16.073732,-64.452530,-56.306587,-48.571674,-40.502518,-33.384136,-26.335764,-20.066530,-13.063326,-5.981079,1.977416,-64.452530,-56.306587,-48.571674,-40.502518,-33.384136,-26.335764,-20.066530,-13.063326,-5.981079,1.977416
5,3800,-49.00,95.00,94.903320,-49.000000,23.317858,27.378226,22.118870,-40.000000,23.317887,2244.708354,132832.059733,11251548.482658,1700.984501,1163.624588,5298198.762801,1701.432251,41.248421,0.999737,0.016580,1.830202,1.830202,-11.570635,22.110081,58.405621,-33.438492,-18.931700,-4.640248,9.079898,22.110081,37.276070,51.787254,65.898529,81.011780,94.903320,-33.438492,-18.931700,-4.640248,9.079898,22.110081,37.276070,51.787254,65.898529,81.011780,94.903320
6,3100,-97.00,39.44,39.397533,-96.841774,-29.508400,27.572678,-29.076043,22.000000,-29.508321,2456.469666,-165279.038935,13332616.661287,1585.728644,792.010759,4383312.676227,1586.240356,39.827633,0.999677,0.012537,1.742065,1.742065,-64.992920,-29.096863,5.191975,-83.700844,-71.555061,-59.284363,-43.894981,-29.096863,-15.506241,-1.236922,12.461957,25.028284,39.397533,-83.700844,-71.555061,-59.284363,-43.894981,-29.096863,-15.506241,-1.236922,12.461957,25.028284,39.397533
7,9100,-6.00,3.00,2.999725,-5.999725,-1.491431,1.741977,-1.462508,0.000000,-1.491430,9.015084,-33.803753,179.217607,6.790722,-0.102589,83.027456,6.791469,2.606045,0.999890,-0.005796,1.800091,1.800091,-3.768609,-1.462783,0.741691,-5.125187,-4.205054,-3.299203,-2.380169,-1.462783,-0.573962,0.306070,1.206977,2.137822,2.999725,-5.125187,-4.205054,-3.299203,-2.380169,-1.462783,-0.573962,0.306070,1.206977,2.137822,2.999725
8,3800,-82.00,60.00,59.904659,-81.843987,-11.520491,26.754654,-11.738883,23.000000,-11.520514,1829.112724,-59841.094453,6478374.090059,1696.390472,317.689517,5124511.470613,1696.837036,41.192680,0.999737,0.004545,1.779804,1.779804,-47.361309,-11.751884,24.789270,-68.561417,-54.732811,-40.197823,-26.247871,-11.751884,3.246803,17.955137,30.453321,45.577686,59.904659,-68.561417,-54.732811,-40.197823,-26.247871,-11.751884,3.246803,17.955137,30.453321,45.577686,59.904659
9,4100,-29.00,16.00,15.997253,-28.984894,-6.585514,8.620436,-6.434767,-21.000000,-6.585524,212.958611,-3640.324244,97552.297282,169.589488,-4.214254,51430.857135,169.630859,13.024241,0.999756,-0.001907,1.787368,1.787368,-18.128696,-6.440260,4.679616,-24.478989,-20.335642,-15.917630,-10.906339,-6.440260,-1.873928,2.435591,6.815149,11.441908,15.997253,-24.478989,-20.335642,-15.917630,-10.906339,-6.440260,-1.873928,2.435591,6.815149,11.441908,15.997253
10,6700,-23.00,2.00,1.997711,-22.993896,-10.295049,6.650197i,-10.255852,0.000000,-10.295044,158.389567,-2723.069837,50007.832156,52.401630,-13.487285,4895.305992,52.409451,7.239437,0.999851,-0.035548,1.782217,1.782217,-16.555254,-10.256233,-3.906857,-20.424238,-17.795069,-15.313913,-12.819788,-10.256233,-7.613330,-5.172613,-2.805902,-0.385022,1.997711,-20.424238,-17.795069,-15.313913,-12.819788,-10.256233,-7.613330,-5.172613,-2.805902,-0.385022,1.997711
