Iteracion,Cantidad_Numeros,Rango_Min_Generado,Rango_Max_Generado,Maximo,Minimo,Media,Media_Geometrica,Mediana,Moda,Momento_Origen_1,Momento_Origen_2,Momento_Origen_3,Momento_Origen_4,Momento_Central_2,Momento_Central_3,Momento_Central_4,Varianza_Muestral,Desviacion_Estandar_Muestral,Momento_Estandar_2,Momento_Estandar_3,Momento_Estandar_4,Curtosis,Cuartil_1,Cuartil_2,Cuartil_3,Decil_1,Decil_2,Decil_3,Decil_4,Decil_5,Decil_6,Decil_7,Decil_8,Decil_9,Decil_10,Percentil_10,Percentil_20,Percentil_30,Percentil_40,Percentil_50,Percentil_60,Percentil_70,Percentil_80,Percentil_90,Percentil_100
1,7100,-57.00,57.00,56.993431,-56.987114,0.025878,21.031541i,-0.233219,-44.000000,0.025899,1070.680309,432.839835,2070799.330391,1070.679638,349.720239,2070758.828975,1070.830444,32.723545,0.999859,0.009980,1.805877,1.805877,-28.319475,-0.235195,28.168869,-45.090248,-33.875767,-22.580944,-11.490582,-0.235195,11.338875,22.275597,34.239021,45.705330,56.993431,-45.090248,-33.875767,-22.580944,-11.490582,-0.235195,11.338875,22.275597,34.239021,45.705330,56.993431
2,2900,-30.00,9.06,9.044479,-29.988268,-10.511951,8.272193,-10.349673,-2.000000,-10.511941,236.882035,-5150.481701,125061.916142,126.381138,-3.365669,28918.402738,126.424736,11.243876,0.999655,-0.002368,1.809298,1.809298,-20.158298,-10.349962,-0.758522,-26.264187,-22.229668,-18.321705,-14.382506,-10.349962,-6.684727,-2.582443,1.064301,4.953999,9.044479,-26.264187,-22.229668,-18.321705,-14.382506,-10.349962,-6.684727,-2.582443,1.064301,4.953999,9.044479
3,3000,-83.00,42.00,41.933815,-82.996460,-21.065037,23.991701i,-21.125500,3.000000,-21.065019,1754.692418,-92076.531732,6732924.117964,1310.957383,116.851751,3055557.146673,1311.394531,36.213181,0.999667,0.002461,1.776739,1.776739,-53.031040,-21.129539,9.962273,-70.804810,-58.829552,-46.460548,-34.336670,-21.129539,-7.814621,3.965340,16.038612,28.836975,41.933815,-70.804810,-58.829552,-46.460548,-34.336670,-21.129539,-7.814621,3.965340,16.038612,28.836975,41.933815
4,3200,-9.00,26.00,25.991043,-8.992334,8.506987,7.395787,8.695610,15.000000,8.506986,174.916913,3219.952982,68260.047449,102.548106,-12.813526,18931.107821,102.580162,10.128186,0.999688,-0.012333,1.799075,1.799075,-0.372406,8.694883,16.950956,-5.648513,-2.174020,1.571694,5.141226,8.694883,12.083809,15.462650,18.773104,22.583433,25.991043,-5.648513,-2.174020,1.571694,5.141226,8.694883,12.083809,15.462650,18.773104,22.583433,25.991043
5,8700,-3.57,73.00,72.995468,-3.570583,34.632061,23.124104i,34.531853,3.000000,34.632043,1695.761672,93190.150647,5463393.375732,496.383301,80.897541,441566.124198,496.440338,22.280941,0.999885,0.007314,1.791685,1.791685,15.484861,34.528450,54.239079,3.524988,11.683681,19.065561,26.640181,34.528450,42.101181,50.238617,58.041065,65.713272,72.995468,3.524988,11.683681,19.065561,26.640181,34.528450,42.101181,50.238617,58.041065,65.713272,72.995468
6,3600,-57.00,80.00,79.995087,-56.917435,12.339213,25.544335i,12.796150,33.000000,12.339210,1717.095088,57746.592508,5758497.022251,1564.838974,-2058.773685,4407391.200289,1565.273804,39.563541,0.999722,-0.033245,1.798875,1.798875,-21.793728,12.728729,46.957779,-42.892761,-28.272739,-15.336479,-0.939018,12.728729,26.624786,39.839958,53.454834,66.440414,79.995087,-42.892761,-28.272739,-15.336479,-0.939018,12.728729,26.624786,39.839958,53.454834,66.440414,79.995087
7,7400,-11.91,19.00,18.995829,-11.909933,3.690637,5.861821i,3.786625,9.000000,3.690639,92.884988,910.783905,17778.593901,79.264168,-17.091467,11367.531442,79.274879,8.903645,0.999865,-0.024215,1.808818,1.808818,-3.986989,3.786523,11.349442,-8.784749,-5.570910,-2.343801,0.659339,3.786523,6.957235,9.888268,12.767349,15.945690,18.995829,-8.784749,-5.570910,-2.343801,0.659339,3.786523,6.957235,9.888268,12.767349,15.945690,18.995829
8,2100,-47.00,69.00,68.985619,-46.939140,11.008224,20.688568,10.962387,17.000000,11.008227,1189.018372,36747.195883,2918903.805475,1067.837318,148.228641,2121282.416202,1068.345947,32.685562,0.999524,0.004245,1.858552,1.858552,-16.252710,10.916851,38.759560,-34.841835,-22.392467,-10.728279,-0.429646,10.916851,21.709221,33.308334,44.078964,56.621071,68.985619,-34.841835,-22.392467,-10.728279,-0.429646,10.916851,21.709221,33.308334,44.078964,56.621071,68.985619
9,7300,-77.00,54.00,53.985474,-76.994995,-11.463243,24.802425i,-11.526558,42.000000,-11.463195,1573.289187,-51182.822455,4862332.356512,1441.884353,-90.493122,3704082.827166,1442.081909,37.974754,0.999863,-0.001652,1.781151,1.781151,-44.160484,-11.583687,21.800621,-64.005356,-51.150703,-37.612556,-25.288040,-11.583687,1.922035,15.562668,27.920715,41.139999,53.985474,-64.005356,-51.150703,-37.612556,-25.288040,-11.583687,1.922035,15.562668,27.920715,41.139999,53.985474
10,4600,-88.00,11.40,11.394974,-87.991966,-38.857288,26.110979i,-38.572506,-66.000000,-38.857257,2324.626752,-152975.442449,10757477.207137,814.740303,670.400546,1200916.069636,814.917480,28.546759,0.999783,0.028818,1.808362,1.808362,-63.728977,-38.593357,-14.729019,-78.158211,-68.582016,-58.877972,-48.854259,-38.593357,-29.389210,-19.637207,-9.381805,0.994125,11.394974,-78.158211,-68.582016,-58.877972,-48.854259,-38.593357,-29.389210,-19.637207,-9.381805,0.994125,11.394974
11,7100,-34.00,20.94,20.936073,-33.992992,-6.634783,10.372038i,-6.364380,-31.000000,-6.634794,298.112383,-5387.248529,185878.543346,254.091886,-37.647798,115830.318231,254.127670,15.941382,0.999859,-0.009293,1.793570,1.793570,-20.607525,-6.366287,6.985058,-28.918625,-23.241812,-17.817301,-11.977871,-6.366287,-0.990074,4.310482,9.790417,15.563843,20.936073,-28.918625,-23.241812,-17.817301,-11.977871,-6.366287,-0.990074,4.310482,9.790417,15.563843,20.936073
12,9500,-86.00,34.00,33.969398,-85.995697,-26.275259,24.519090,-26.501028,-41.000000,-26.275321,1883.233020,-111399.688900,7906027.964148,1192.840522,767.176698,2568871.685492,1192.966064,34.539341,0.999895,0.018619,1.805037,1.805037,-55.963310,-26.501057,3.515938,-74.016205,-62.074387,-50.628609,-38.693092,-26.501057,-14.580307,-2.571777,9.609352,21.947075,33.969398,-74.016205,-62.074387,-50.628609,-38.693092,-26.501057,-14.580307,-2.571777,9.609352,21.947075,33.969398
13,8400,-52.00,32.82,32.803673,-51.961098,-9.500656,15.827894i,-9.252630,-18.000000,-9.500645,687.739059,-18181.923341,989334.745874,597.476803,-295.108729,646394.183813,597.547913,24.444794,0.999881,-0.020203,1.810306,1.810306,-30.730263,-9.256641,11.520397,-43.599934,-34.903004,-26.250805,-17.569542,-9.256641,-0.924759,7.464504,15.638191,24.266228,32.803673,-43.599934,-34.903004,-26.250805,-17.569542,-9.256641,-0.924759,7.464504,15.638191,24.266228,32.803673
14,3900,-98.00,60.00,59.974747,-97.973419,-20.213385,30.356496i,-20.362507,10.000000,-20.213417,2498.266571,-132922.578034,12868683.026837,2089.684340,2055.044990,7745070.368274,2090.220215,45.718925,0.999744,0.021505,1.772725,1.772725,-60.560539,-20.372955,19.311668,-82.532066,-67.884087,-53.140099,-36.902115,-20.372955,-3.360085,12.003548,26.834084,42.705719,59.974747,-82.532066,-67.884087,-53.140099,-36.902115,-20.372955,-3.360085,12.003548,26.834084,42.705719,59.974747
15,2500,-15.00,5.00,4.999928,-14.991528,-5.217807,4.381075i,-5.422059,-13.000000,-5.217807,59.748973,-638.973441,7718.699113,32.523461,12.187441,1919.030990,32.536476,5.704075,0.999600,0.065668,1.812763,1.812763,-10.169571,-5.424386,-0.295329,-12.891809,-11.098316,-9.228535,-7.385343,-5.424386,-3.406053,-1.346407,0.779151,2.778269,4.999928,-12.891809,-11.098316,-9.228535,-7.385343,-5.424386,-3.406053,-1.346407,0.779151,2.778269,4.999928
16,8600,-30.00,48.95,48.937447,-29.995329,9.377328,14.996715,9.656555,-4.000000,9.377327,609.869220,15432.503545,769583.354969,521.934950,-75.150426,489293.919212,521.995667,22.847225,0.999884,-0.006301,1.795709,1.795709,-10.424351,9.650978,28.864403,-22.246571,-14.600496,-6.395433,1.328434,9.650978,17.373848,25.359947,32.849041,41.021233,48.937447,-22.246571,-14.600496,-6.395433,1.328434,9.650978,17.373848,25.359947,32.849041,41.021233,48.937447
